,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
1257,2020-04-23,23,4,2020,933,264,Belgium,BE,BEL,11422068.0,Europe
1258,2020-04-22,22,4,2020,973,170,Belgium,BE,BEL,11422068.0,Europe
1259,2020-04-21,21,4,2020,1487,145,Belgium,BE,BEL,11422068.0,Europe
1260,2020-04-20,20,4,2020,1313,230,Belgium,BE,BEL,11422068.0,Europe
1261,2020-04-19,19,4,2020,1045,290,Belgium,BE,BEL,11422068.0,Europe
1262,2020-04-18,18,4,2020,1329,306,Belgium,BE,BEL,11422068.0,Europe
1263,2020-04-17,17,4,2020,1236,417,Belgium,BE,BEL,11422068.0,Europe
1264,2020-04-16,16,4,2020,2454,283,Belgium,BE,BEL,11422068.0,Europe
1265,2020-04-15,15,4,2020,530,254,Belgium,BE,BEL,11422068.0,Europe
1266,2020-04-14,14,4,2020,942,303,Belgium,BE,BEL,11422068.0,Europe
1267,2020-04-13,13,4,2020,1629,254,Belgium,BE,BEL,11422068.0,Europe
1268,2020-04-12,12,4,2020,1351,327,Belgium,BE,BEL,11422068.0,Europe
1269,2020-04-11,11,4,2020,1684,496,Belgium,BE,BEL,11422068.0,Europe
1270,2020-04-10,10,4,2020,1580,283,Belgium,BE,BEL,11422068.0,Europe
1271,2020-04-09,9,4,2020,1209,205,Belgium,BE,BEL,11422068.0,Europe
1272,2020-04-08,8,4,2020,1380,403,Belgium,BE,BEL,11422068.0,Europe
1273,2020-04-07,7,4,2020,1123,185,Belgium,BE,BEL,11422068.0,Europe
1274,2020-04-06,6,4,2020,1260,164,Belgium,BE,BEL,11422068.0,Europe
1275,2020-04-05,5,4,2020,1661,140,Belgium,BE,BEL,11422068.0,Europe
1276,2020-04-04,4,4,2020,1422,132,Belgium,BE,BEL,11422068.0,Europe
1277,2020-04-03,3,4,2020,1384,183,Belgium,BE,BEL,11422068.0,Europe
1278,2020-04-02,2,4,2020,1189,123,Belgium,BE,BEL,11422068.0,Europe
1279,2020-04-01,1,4,2020,876,192,Belgium,BE,BEL,11422068.0,Europe
1280,2020-03-31,31,3,2020,1063,82,Belgium,BE,BEL,11422068.0,Europe
1281,2020-03-30,30,3,2020,1702,78,Belgium,BE,BEL,11422068.0,Europe
1282,2020-03-29,29,3,2020,1850,64,Belgium,BE,BEL,11422068.0,Europe
1283,2020-03-28,28,3,2020,1049,69,Belgium,BE,BEL,11422068.0,Europe
1284,2020-03-27,27,3,2020,1298,42,Belgium,BE,BEL,11422068.0,Europe
1285,2020-03-26,26,3,2020,668,56,Belgium,BE,BEL,11422068.0,Europe
1286,2020-03-25,25,3,2020,526,34,Belgium,BE,BEL,11422068.0,Europe
1287,2020-03-24,24,3,2020,342,13,Belgium,BE,BEL,11422068.0,Europe
1288,2020-03-23,23,3,2020,586,8,Belgium,BE,BEL,11422068.0,Europe
1289,2020-03-22,22,3,2020,558,30,Belgium,BE,BEL,11422068.0,Europe
1290,2020-03-21,21,3,2020,462,16,Belgium,BE,BEL,11422068.0,Europe
1291,2020-03-20,20,3,2020,309,7,Belgium,BE,BEL,11422068.0,Europe
1292,2020-03-19,19,3,2020,243,9,Belgium,BE,BEL,11422068.0,Europe
1293,2020-03-18,18,3,2020,158,0,Belgium,BE,BEL,11422068.0,Europe
1294,2020-03-17,17,3,2020,199,1,Belgium,BE,BEL,11422068.0,Europe
1295,2020-03-16,16,3,2020,197,0,Belgium,BE,BEL,11422068.0,Europe
1296,2020-03-15,15,3,2020,130,1,Belgium,BE,BEL,11422068.0,Europe
1297,2020-03-14,14,3,2020,160,0,Belgium,BE,BEL,11422068.0,Europe
1298,2020-03-13,13,3,2020,85,0,Belgium,BE,BEL,11422068.0,Europe
1299,2020-03-12,12,3,2020,47,3,Belgium,BE,BEL,11422068.0,Europe
1300,2020-03-11,11,3,2020,28,0,Belgium,BE,BEL,11422068.0,Europe
1301,2020-03-10,10,3,2020,39,0,Belgium,BE,BEL,11422068.0,Europe
1302,2020-03-09,9,3,2020,31,0,Belgium,BE,BEL,11422068.0,Europe
1303,2020-03-08,8,3,2020,60,0,Belgium,BE,BEL,11422068.0,Europe
1304,2020-03-07,7,3,2020,59,0,Belgium,BE,BEL,11422068.0,Europe
1305,2020-03-06,6,3,2020,27,0,Belgium,BE,BEL,11422068.0,Europe
1306,2020-03-05,5,3,2020,10,0,Belgium,BE,BEL,11422068.0,Europe
1307,2020-03-04,4,3,2020,5,0,Belgium,BE,BEL,11422068.0,Europe
1308,2020-03-03,3,3,2020,6,0,Belgium,BE,BEL,11422068.0,Europe
1309,2020-03-02,2,3,2020,1,0,Belgium,BE,BEL,11422068.0,Europe
1310,2020-03-01,1,3,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1311,2020-02-29,29,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1312,2020-02-28,28,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1313,2020-02-27,27,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1314,2020-02-26,26,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1315,2020-02-25,25,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1316,2020-02-24,24,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1317,2020-02-23,23,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1318,2020-02-22,22,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1319,2020-02-21,21,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1320,2020-02-20,20,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1321,2020-02-19,19,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1322,2020-02-18,18,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1323,2020-02-17,17,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1324,2020-02-16,16,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1325,2020-02-15,15,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1326,2020-02-14,14,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1327,2020-02-13,13,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1328,2020-02-12,12,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1329,2020-02-11,11,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1330,2020-02-10,10,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1331,2020-02-09,9,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1332,2020-02-08,8,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1333,2020-02-07,7,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1334,2020-02-06,6,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1335,2020-02-05,5,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1336,2020-02-04,4,2,2020,1,0,Belgium,BE,BEL,11422068.0,Europe
1337,2020-02-03,3,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1338,2020-02-02,2,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1339,2020-02-01,1,2,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1340,2020-01-31,31,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1341,2020-01-30,30,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1342,2020-01-29,29,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1343,2020-01-28,28,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1344,2020-01-27,27,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1345,2020-01-26,26,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1346,2020-01-25,25,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1347,2020-01-24,24,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1348,2020-01-23,23,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1349,2020-01-22,22,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1350,2020-01-21,21,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1351,2020-01-20,20,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1352,2020-01-19,19,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1353,2020-01-18,18,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1354,2020-01-17,17,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1355,2020-01-16,16,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1356,2020-01-15,15,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1357,2020-01-14,14,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1358,2020-01-13,13,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1359,2020-01-12,12,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1360,2020-01-11,11,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1361,2020-01-10,10,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1362,2020-01-09,9,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1363,2020-01-08,8,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1364,2020-01-07,7,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1365,2020-01-06,6,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1366,2020-01-05,5,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1367,2020-01-04,4,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1368,2020-01-03,3,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1369,2020-01-02,2,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1370,2020-01-01,1,1,2020,0,0,Belgium,BE,BEL,11422068.0,Europe
1371,2019-12-31,31,12,2019,0,0,Belgium,BE,BEL,11422068.0,Europe
4143,2020-04-23,23,4,2020,1827,544,France,FR,FRA,66987244.0,Europe
4144,2020-04-22,22,4,2020,2667,531,France,FR,FRA,66987244.0,Europe
4145,2020-04-21,21,4,2020,2051,547,France,FR,FRA,66987244.0,Europe
4146,2020-04-20,20,4,2020,785,395,France,FR,FRA,66987244.0,Europe
4147,2020-04-19,19,4,2020,2569,642,France,FR,FRA,66987244.0,Europe
4148,2020-04-18,18,4,2020,405,761,France,FR,FRA,66987244.0,Europe
4149,2020-04-17,17,4,2020,2641,753,France,FR,FRA,66987244.0,Europe
4150,2020-04-16,16,4,2020,2633,1438,France,FR,FRA,66987244.0,Europe
4151,2020-04-15,15,4,2020,5497,762,France,FR,FRA,66987244.0,Europe
4152,2020-04-14,14,4,2020,2673,574,France,FR,FRA,66987244.0,Europe
4153,2020-04-13,13,4,2020,1613,561,France,FR,FRA,66987244.0,Europe
4154,2020-04-12,12,4,2020,3114,635,France,FR,FRA,66987244.0,Europe
4155,2020-04-11,11,4,2020,4342,987,France,FR,FRA,66987244.0,Europe
4156,2020-04-10,10,4,2020,4286,1341,France,FR,FRA,66987244.0,Europe
4157,2020-04-09,9,4,2020,3881,541,France,FR,FRA,66987244.0,Europe
4158,2020-04-08,8,4,2020,3777,1417,France,FR,FRA,66987244.0,Europe
4159,2020-04-07,7,4,2020,3912,833,France,FR,FRA,66987244.0,Europe
4160,2020-04-06,6,4,2020,1873,518,France,FR,FRA,66987244.0,Europe
4161,2020-04-05,5,4,2020,4267,1053,France,FR,FRA,66987244.0,Europe
4162,2020-04-04,4,4,2020,5233,2004,France,FR,FRA,66987244.0,Europe
4163,2020-04-03,3,4,2020,2116,471,France,FR,FRA,66987244.0,Europe
4164,2020-04-02,2,4,2020,4861,509,France,FR,FRA,66987244.0,Europe
4165,2020-04-01,1,4,2020,7578,499,France,FR,FRA,66987244.0,Europe
4166,2020-03-31,31,3,2020,4376,418,France,FR,FRA,66987244.0,Europe
4167,2020-03-30,30,3,2020,2599,292,France,FR,FRA,66987244.0,Europe
4168,2020-03-29,29,3,2020,4611,319,France,FR,FRA,66987244.0,Europe
4169,2020-03-28,28,3,2020,3809,299,France,FR,FRA,66987244.0,Europe
4170,2020-03-27,27,3,2020,3922,365,France,FR,FRA,66987244.0,Europe
4171,2020-03-26,26,3,2020,2931,231,France,FR,FRA,66987244.0,Europe
4172,2020-03-25,25,3,2020,2446,240,France,FR,FRA,66987244.0,Europe
4173,2020-03-24,24,3,2020,3838,186,France,FR,FRA,66987244.0,Europe
4174,2020-03-23,23,3,2020,1559,112,France,FR,FRA,66987244.0,Europe
4175,2020-03-22,22,3,2020,1847,112,France,FR,FRA,66987244.0,Europe
4176,2020-03-21,21,3,2020,1617,78,France,FR,FRA,66987244.0,Europe
4177,2020-03-20,20,3,2020,1861,128,France,FR,FRA,66987244.0,Europe
4178,2020-03-19,19,3,2020,1404,69,France,FR,FRA,66987244.0,Europe
4179,2020-03-18,18,3,2020,1097,27,France,FR,FRA,66987244.0,Europe
4180,2020-03-17,17,3,2020,1210,21,France,FR,FRA,66987244.0,Europe
4181,2020-03-16,16,3,2020,924,36,France,FR,FRA,66987244.0,Europe
4182,2020-03-15,15,3,2020,838,12,France,FR,FRA,66987244.0,Europe
4183,2020-03-14,14,3,2020,785,18,France,FR,FRA,66987244.0,Europe
4184,2020-03-13,13,3,2020,595,13,France,FR,FRA,66987244.0,Europe
4185,2020-03-12,12,3,2020,497,15,France,FR,FRA,66987244.0,Europe
4186,2020-03-11,11,3,2020,372,3,France,FR,FRA,66987244.0,Europe
4187,2020-03-10,10,3,2020,286,11,France,FR,FRA,66987244.0,Europe
4188,2020-03-09,9,3,2020,410,9,France,FR,FRA,66987244.0,Europe
4189,2020-03-08,8,3,2020,103,1,France,FR,FRA,66987244.0,Europe
4190,2020-03-07,7,3,2020,190,2,France,FR,FRA,66987244.0,Europe
4191,2020-03-06,6,3,2020,138,3,France,FR,FRA,66987244.0,Europe
4192,2020-03-05,5,3,2020,73,0,France,FR,FRA,66987244.0,Europe
4193,2020-03-04,4,3,2020,34,1,France,FR,FRA,66987244.0,Europe
4194,2020-03-03,3,3,2020,48,1,France,FR,FRA,66987244.0,Europe
4195,2020-03-02,2,3,2020,30,0,France,FR,FRA,66987244.0,Europe
4196,2020-03-01,1,3,2020,43,0,France,FR,FRA,66987244.0,Europe
4197,2020-02-29,29,2,2020,19,0,France,FR,FRA,66987244.0,Europe
4198,2020-02-28,28,2,2020,21,0,France,FR,FRA,66987244.0,Europe
4199,2020-02-27,27,2,2020,3,1,France,FR,FRA,66987244.0,Europe
4200,2020-02-26,26,2,2020,2,0,France,FR,FRA,66987244.0,Europe
4201,2020-02-25,25,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4202,2020-02-24,24,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4203,2020-02-23,23,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4204,2020-02-22,22,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4205,2020-02-21,21,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4206,2020-02-20,20,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4207,2020-02-19,19,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4208,2020-02-18,18,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4209,2020-02-17,17,2,2020,1,0,France,FR,FRA,66987244.0,Europe
4210,2020-02-16,16,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4211,2020-02-15,15,2,2020,0,1,France,FR,FRA,66987244.0,Europe
4212,2020-02-14,14,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4213,2020-02-13,13,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4214,2020-02-12,12,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4215,2020-02-11,11,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4216,2020-02-10,10,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4217,2020-02-09,9,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4218,2020-02-08,8,2,2020,5,0,France,FR,FRA,66987244.0,Europe
4219,2020-02-07,7,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4220,2020-02-06,6,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4221,2020-02-05,5,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4222,2020-02-04,4,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4223,2020-02-03,3,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4224,2020-02-02,2,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4225,2020-02-01,1,2,2020,0,0,France,FR,FRA,66987244.0,Europe
4226,2020-01-31,31,1,2020,1,0,France,FR,FRA,66987244.0,Europe
4227,2020-01-30,30,1,2020,1,0,France,FR,FRA,66987244.0,Europe
4228,2020-01-29,29,1,2020,1,0,France,FR,FRA,66987244.0,Europe
4229,2020-01-28,28,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4230,2020-01-27,27,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4231,2020-01-26,26,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4232,2020-01-25,25,1,2020,3,0,France,FR,FRA,66987244.0,Europe
4233,2020-01-24,24,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4234,2020-01-23,23,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4235,2020-01-22,22,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4236,2020-01-21,21,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4237,2020-01-20,20,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4238,2020-01-19,19,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4239,2020-01-18,18,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4240,2020-01-17,17,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4241,2020-01-16,16,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4242,2020-01-15,15,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4243,2020-01-14,14,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4244,2020-01-13,13,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4245,2020-01-12,12,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4246,2020-01-11,11,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4247,2020-01-10,10,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4248,2020-01-09,9,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4249,2020-01-08,8,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4250,2020-01-07,7,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4251,2020-01-06,6,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4252,2020-01-05,5,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4253,2020-01-04,4,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4254,2020-01-03,3,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4255,2020-01-02,2,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4256,2020-01-01,1,1,2020,0,0,France,FR,FRA,66987244.0,Europe
4257,2019-12-31,31,12,2019,0,0,France,FR,FRA,66987244.0,Europe
6063,2020-04-23,23,4,2020,3370,437,Italy,IT,ITA,60431283.0,Europe
6064,2020-04-22,22,4,2020,2729,534,Italy,IT,ITA,60431283.0,Europe
6065,2020-04-21,21,4,2020,2256,454,Italy,IT,ITA,60431283.0,Europe
6066,2020-04-20,20,4,2020,3047,433,Italy,IT,ITA,60431283.0,Europe
6067,2020-04-19,19,4,2020,3491,480,Italy,IT,ITA,60431283.0,Europe
6068,2020-04-18,18,4,2020,3493,575,Italy,IT,ITA,60431283.0,Europe
6069,2020-04-17,17,4,2020,3786,525,Italy,IT,ITA,60431283.0,Europe
6070,2020-04-16,16,4,2020,2667,578,Italy,IT,ITA,60431283.0,Europe
6071,2020-04-15,15,4,2020,2972,604,Italy,IT,ITA,60431283.0,Europe
6072,2020-04-14,14,4,2020,3153,564,Italy,IT,ITA,60431283.0,Europe
6073,2020-04-13,13,4,2020,4092,431,Italy,IT,ITA,60431283.0,Europe
6074,2020-04-12,12,4,2020,4694,619,Italy,IT,ITA,60431283.0,Europe
6075,2020-04-11,11,4,2020,3951,570,Italy,IT,ITA,60431283.0,Europe
6076,2020-04-10,10,4,2020,4204,612,Italy,IT,ITA,60431283.0,Europe
6077,2020-04-09,9,4,2020,3836,540,Italy,IT,ITA,60431283.0,Europe
